Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Mastering Regular Expressions,540872,67.99,Jeffrey E. F. Friedl,O'Reilly Media,2006,Understand Your Data and Be More Productive, (3rd ed.),"Regular expressions are an extremely powerful tool for manipulating text and data. They are now standard features in a wide range of languages and popular tools, including Perl, Python, Ruby, Java, VB.NET and C# (and any language using the .NET Framework), PHP, and MySQL. If you don't use regular expressions yet, you will discover in this book a...",True,2006-08-08T00:00:00,Aug 2006,1,97,150,Program_lang
Laravel: Up & Running,211070101,63.99,Matt Stauffer,O'Reilly Media,2023,, (3rd ed.),"What sets Laravel apart from other PHP web frameworks? Speed and simplicity, for starters. This rapid application development framework and its ecosystem of tools let you quickly build new sites and applications with clean, readable code. Fully updated to include Laravel 10, the third edition of this practical guide provides the definitive...",True,2023-09-11T00:00:00,Sep 2023,1,97,150,Program_lang
Multithreaded Javascript,210380832,71.99,II Thomas Hunter,O'Reilly Media,2021,,,"Traditionally, JavaScript has been a single-threaded language. Nearly all online forum posts, books, online documentation, and libraries refer to the language as single threaded. Thanks to recent advancements in the language--such as the Atomics and SharedArrayBuffers objects and Web Workers in the browser--JavaScript is now a multi-threaded...",True,2021-09-22T00:00:00,Sep 2021,2,97,150,Program_lang
SQL in a Nutshell,210591571,84.99,Kevin Kline,O'Reilly Media,2022,, (4th ed.),"For programmers, analysts, and database administrators, this Nutshell guide is the essential reference for the SQL language used in today's most popular database products. This new fourth edition clearly documents SQL commands according to the latest ANSI/ISO standard and details how those commands are implemented in Microsoft SQL Server 2019...",True,2022-06-14T00:00:00,Jun 2022,3,97,150,Program_lang
Practical Programming,95960920,56.99,Paul Gries,Pragmatic Bookshelf,2017,An Introduction to Computer Science Using Python 3.6, (3rd ed.),"Classroom-tested by tens of thousands of students, this new edition of the bestselling intro to programming book is for anyone who wants to understand computer science. Learn about design, algorithms, testing, and debugging. Discover the fundamentals of programming with Python 3.6--a language that's used in millions of devices. Write programs to...",True,2018-02-07T00:00:00,Dec 2017,3,97,150,Program_lang
"Python Crash Course, 3rd Edition",210527420,53.99,Eric Matthes,No Starch Press,2023,"A Hands-On, Project-Based Introduction to Programming",,"Python Crash Course is the world&rsquo;s bestselling programming book, with over 1,500,000 copies sold to date!Python Crash Course is the world&rsquo;s best-selling guide to the Python programming language. This fast-paced, thorough introduction will have you writing programs, solving problems, and developing functioning applications...",True,2023-01-10T00:00:00,Jan 2023,1,97,150,Program_lang
Python for Geospatial Data Analysis,210691208,84.99,Bonny P. McClain,O'Reilly Media,2022,,,"In spatial data science, things in closer proximity to one another likely have more in common than things that are farther apart. With this practical book, geospatial professionals, data scientists, business analysts, geographers, geologists, and others familiar with data analysis and visualization will learn the fundamentals of spatial data...",True,2022-10-19T00:00:00,Oct 2022,1,97,150,Program_lang
A Functional Approach to Java,210840223,79.99,Ben Weidig,O'Reilly Media,2023,,,"Java developers usually tackle the complexity of software development through object-oriented programming (OOP). But not every problem is a good match for OOP. The functional programming (FP) paradigm offers you another approach to solving problems, and Java provides easy-to-grasp FP tools such as lambda expressions and Streams. If you're...",True,2023-05-09T00:00:00,May 2023,1,97,150,Program_lang
Mastering VBA for Microsoft Office 365,209734513,62.0,Richard Mansfield,Wiley,2019,, (4th ed.),Customize and ramp-up Office 365 applications NOTE: Please click Downloads (located in the menu on the left) to download “Full Code Download.”,True,2019-07-02T00:00:00,Jul 2019,1,97,150,Program_lang
"HTML, CSS, and JavaScript All in One",209552994,43.54494795,Julie C. Meloni,Pearson Education,2018,"Covering HTML5, CSS3, and ES6, Sams Teach Yourself", (3rd ed.),"A solid understanding of HTML, CSS, and JavaScript -- and how they work together -- is vital to any kind of contemporary web development. And these core technologies are only growing in importance as contemporary web development moves away from a reliance on proprietary technologies like Flash for rich interface and mobile applications. Teach...",True,2018-12-04T00:00:00,Dec 2018,2,97,150,Program_lang
