Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Building CI/CD Systems Using Tekton,210345822,49.99,Joel Lord,Packt Publishing,2021,Develop flexible and powerful CI/CD pipelines using Tekton Pipelines and Triggers,,,True,2021-09-17T00:00:00,Sep 2021,1,97,150,arch
50 Kubernetes Concepts Every DevOps Engineer Should Know,210757230,45.99,Michael Levan,Packt Publishing,2023,Your go-to guide for making production-level decisions on how and why to implement Kubernetes,,,True,2023-01-30T00:00:00,Jan 2023,1,97,150,arch
Implementing Enterprise Observability for Success,210850230,35.99,Manisha Agrawal,Packt Publishing,2023,Strategically plan and implement observability using real-life examples,,,True,2023-06-16T00:00:00,Jun 2023,2,97,150,arch
Building and Delivering Microservices on AWS,210844549,45.99,Amar Deep Singh,Packt Publishing,2023,Master software architecture patterns to develop and deliver microservices to AWS Cloud,,,True,2023-05-30T00:00:00,May 2023,2,97,150,arch
Computer Architecture with Python and ARM,210964555,45.99,Alan Clements,Packt Publishing,2023,"Learn how computers work, program your own, and explore assembly language on Raspberry Pi",,,True,2023-07-31T00:00:00,Jul 2023,1,97,150,arch
Becoming a Salesforce Certified Technical Architect,210896573,70.99,Tameem Bahri,Packt Publishing,2023,Build a strong command of architectural principles and strategies to prepare for the CTA review board,,,True,2023-06-30T00:00:00,Jun 2023,1,97,150,arch
HashiCorp Packer in Production,211070365,45.99,John Boero,Packt Publishing,2023,Efficiently manage sets of images for your digital transformation or cloud adoption journey,,,True,2023-07-14T00:00:00,Jul 2023,2,97,150,arch
The Cloud Computing Journey,211170071,45.99,Divit Gupta,Packt Publishing,2024,Design and deploy resilient and secure multi-cloud systems with practical guidance,,,True,2024-01-05T00:00:00,Jan 2024,2,97,150,arch
Computer Architecture and Organization,210426524,80.86686426,Shuangbao Paul Wang,Springer Nature Singapore,2021,Fundamentals and Architecture Security,,"In today’s workplace, computer and cybersecurity professionals must understand both hardware and software to deploy effective security solutions. This book introduces readers to the fundamentals of computer architecture and organization for...",True,2021-11-29T00:00:00,Nov 2021,1,97,150,arch
Certified Kubernetes Application Developer (CKAD) Exam Success Guide,211113533,27.15603975,Sethumadhavan Kishore,BPB Publications,2023,Ace your career in Kubernetes development with CKAD certification (English Edition),,Learn all skills needed to be a Certified Kubernetes professional. Key Features. &#9679; Prepares you for the Certified Kubernetes Application Developer exam. &#9679; Learn Tips andTricks you should be aware to pass CKAD exam like a Pro. &#9679; Lots of hands-on examples including two full length mock exams. &#9679; Learn core kubernetes...,True,2023-09-19T00:00:00,Sep 2023,1,97,150,arch
"Firewire System Architecture, Second Edition (IEEE 1394a)",120545,20.35001475,Don Anderson,Addison-Wesley Longman,1999,, (2nd ed.),"The FireWire (IEEE 1394) standard for high-speed serial bus communications has come to the forefront as an important technology supporting today's emerging data-intensive applications. FireWire System Architecture provides an in-depth description of the IEEE 1394a standard including the cable environment, arbitration enhancements, improvements...",True,2002-02-28T00:00:00,Jan 1999,1,97,150,arch
"Universal Serial Bus System Architecture (USB 2.0), Second Edition",120861,27.15603975,Don Anderson,Addison-Wesley Longman,2001,, (2nd ed.),"Universal Serial Bus System Architecture, Second Edition provides an in-depth discussion of USB and is based on the 2.0 version of the Universal Serial Bus specification. It focuses on the USB protocol, signaling environment, and electrical specifications, along with the hardware/software interaction required to configure and access USB devices....",True,2002-03-06T00:00:00,Mar 2001,2,97,150,arch
"ISA System Architecture, Third Edition",120550,20.35001475,Tom Shanley,Addison-Wesley Longman,1995,, (3rd ed.),"The authoritative guide to the ISA specification for internal PC data exchange. ISA System Architecture provides a detailed tutorial on how Intel X86 microprocessors communicate with memory and I/O devices, theory on the operation of RAM and ROM devices, along with implementations commonly used in ISA systems, and detailed discussion of the ISA...",True,2002-02-28T00:00:00,Feb 1995,2,97,150,arch
PCMCIA System Architecture,120574,13.54398975,Don Anderson,Addison-Wesley Longman,1995,"16-Bit PC Cards, Second Edition", (2nd ed.),"PCMCIA System Architecture: 16-Bit PC Cards, Second Edition describes PC card hardware and software interfaces and their relationships to overall system design. Developed by the Personal Computer Memory Card International Association (PCMCIA) and the Japan Electronics Industry Development Association (JEIDA), the PC Card Standard defines a...",True,2002-02-20T00:00:00,Jul 1995,2,97,150,arch
PCI-X System Architecture,120567,27.15603975,Tom Shanley,Addison-Wesley Longman,2001,,,"PCI-X System Architecture is a detailed and comprehensive guide to the PCI-X technology. It highlights the many changes and improvements from PCI 2.2 to PCI-X, so that you can build on your PCI knowledge to master PCI-X with greater ease. The book discusses the drawbacks of PCI and how PCI-X solves these problems to achieve faster transfer...",True,2002-02-20T00:00:00,Jan 2001,2,97,150,arch
Plug and Play System Architecture,120576,13.54398975,Tom Shanley,Addison-Wesley Longman,1995,,,"Designed as a companion volume to the official hardware design guide for Windows 95, Plug and Play System Architecture provides a detailed hardware and software description of the Plug and Play technology that is integrated into Windows 95 and will soon appear in other operating systems, including Windows NT. In addition to coverage of ISA and...",True,2002-02-20T00:00:00,Aug 1995,2,97,150,arch
ARM System Developer's Guide,294534,126.52400475,Andrew Sloss,Elsevier Science,2004,Designing and Optimizing System Software,,"Over the last ten years, the ARM architecture has become one of the most pervasive architectures in the world, with more than 2 billion ARM-based processors embedded in products ranging from cell phones to automotive braking systems. A world-wide community of ARM developers in semiconductor and product design companies includes...",True,2004-05-10T00:00:00,May 2004,3,97,150,arch
Computer Architecture,787253,121.07918475,John L. Hennessy,Elsevier Science,2011,A Quantitative Approach, (5th ed.),"Computer Architecture: A Quantitative Approach, Fifth Edition, explores the ways that software and technology in the cloud are accessed by digital media, such as cell phones, computers, tablets, and other mobile devices. The book, which became a part of Intel's 2012 recommended reading list for developers, covers the revolution of...",True,2011-10-07T00:00:00,Oct 2011,2,97,150,arch
Pure Corba,175809,54.43458795,Fintan Bolton,Pearson Education,2001,,,"PURE CORBA 3 is a premium, code-intensive reference for professional developers. It focuses on the core specification for CORBA 3 and contains: conceptual overview of CORBA 3. CORBA techniques programming reference that contains thousands of lines of commercial-quality code examples in both C++ and Java (the two most popular...",True,2001-07-16T00:00:00,Jul 2001,1,97,150,arch
The Designer's Guide to VHDL,294402,121.07918475,Peter J. Ashenden,Elsevier Science,2001,, (2nd ed.),"Since the publication of the first edition of The Designer's Guide to VHDL in 1996, digital electronic systems have increased exponentially in their complexity, product lifetimes have dramatically shrunk, and reliability requirements have shot through the roof. As a result more and more designers have turned to VHDL to help them...",True,2001-06-05T00:00:00,Jun 2001,1,97,150,arch
