,title,video_id,channel_name,views,duration,url
154,Python Tutorial - Python Full Course for Beginners,_uQrJ0TkZlc,Programming with Mosh,37M views,6:14:07,https://www.youtube.com/watch?v=_uQrJ0TkZlc
155,Python Full Course for free 🐍,XKHEtdqhLK8,Bro Code,15M views,12:00:00,https://www.youtube.com/watch?v=XKHEtdqhLK8
156,Learn Python - Full Course for Beginners [Tutorial],rfscVS0vtbw,freeCodeCamp.org,43M views,4:26:52,https://www.youtube.com/watch?v=rfscVS0vtbw
157,Python for Beginners - Learn Python in 1 Hour,kqtD5dpn9C8,Programming with Mosh,15M views,1:00:06,https://www.youtube.com/watch?v=kqtD5dpn9C8
158,👩‍💻 Python for Beginners Tutorial,b093aqAZiPU,Kevin Stratvert,2.6M views,1:03:21,https://www.youtube.com/watch?v=b093aqAZiPU
159,How to create graphics using Python turtle 🐍🐢 #coding,eaMDDseIL7E,Fun with Python,641K views,0:14,https://www.youtube.com/watch?v=eaMDDseIL7E
160,Install Ollama on Windows For Python Development,sUrvngibyeU,Jie Jenn,162 views,6:58,https://www.youtube.com/watch?v=sUrvngibyeU
161,you need to learn Python RIGHT NOW!! // EP 1,mRMmlo_Uqcs,NetworkChuck,2.1M views,17:42,https://www.youtube.com/watch?v=mRMmlo_Uqcs
162,The complete guide to Python,mDKM-JtUhhc,Clear Code,374K views,11:08:59,https://www.youtube.com/watch?v=mDKM-JtUhhc
163,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],t8pPdKYpowI,TechWorld with Nana,5.3M views,5:31:30,https://www.youtube.com/watch?v=t8pPdKYpowI
164,5 Useful F-String Tricks In Python,EoNOWVYKyo0,Indently,47K views,10:02,https://www.youtube.com/watch?v=EoNOWVYKyo0
165,Python or JavaScript - Which One Should YOU Learn?,t9CAFYn7YgY,Tech With Tim,52K views,8:05,https://www.youtube.com/watch?v=t9CAFYn7YgY
166,Python Tutorial for Beginners (Full Course) at @shradhaKD  | Republic Day Gift,KrBnRcpWGEI,Apna College,146K views,1:20,https://www.youtube.com/watch?v=KrBnRcpWGEI
167,Furthest Building You Can Reach - Leetcode 1642 - Python,zyTeznvXCtg,NeetCodeIO,8.3K views,11:08,https://www.youtube.com/watch?v=zyTeznvXCtg
168,Hunting Alligators Deep In The Florida Swamps With Alex Zedra,0A3rOtYtokc,Python Cowboy,14K views,11:45,https://www.youtube.com/watch?v=0A3rOtYtokc
169,Python in VS Code - Release News v1.86,Oo43TnkNG3E,Visual Studio Code,7.6K views,4:23,https://www.youtube.com/watch?v=Oo43TnkNG3E
170,5 Ways To Do THIS? #python #code #coding,OMqbrOsUbnA,Indently,14K views,1:00,https://www.youtube.com/watch?v=OMqbrOsUbnA
171,I Can’t Believe My Pet Python Is Still Alive!!! 😱🐍#shorts #python,JTgEQQn-8X4,Corbin Maxey,716K views,1:01,https://www.youtube.com/watch?v=JTgEQQn-8X4
172,What is Python? Why Python is So Popular?,Y8Tko2YC5hA,Programming with Mosh,1.8M views,4:07,https://www.youtube.com/watch?v=Y8Tko2YC5hA
173,Python for Everybody - Full University Python Course,8DvywoWv6fI,freeCodeCamp.org,6.6M views,13:40:10,https://www.youtube.com/watch?v=8DvywoWv6fI
174,9 HOURS of Python Projects - From Beginner to Advanced,NpmFbWO6HPU,Tech With Tim,225K views,9:20:00,https://www.youtube.com/watch?v=NpmFbWO6HPU
175,Python Integer Trick?? #python #coding #programming,FsbByDKPMoc,b001,2.5M views,0:37,https://www.youtube.com/watch?v=FsbByDKPMoc
176,Python 101: Learn the 5 Must-Know Concepts,mMv6OSuitWw,Tech With Tim,890K views,20:00,https://www.youtube.com/watch?v=mMv6OSuitWw
177,Python Yield Keyword??,HnggP09mKpM,b001,107K views,3:18,https://www.youtube.com/watch?v=HnggP09mKpM
178,How to be a Python Programmer in 4 steps 👩‍💻🐍 #technology #programming #software #career #python,Pl9RxjJ5--4,Coding with Lewis,675K views,0:35,https://www.youtube.com/watch?v=Pl9RxjJ5--4
179,Python Django Tutorial for Beginners,rHux0gMZ3Eg,Programming with Mosh,2.1M views,1:02:36,https://www.youtube.com/watch?v=rHux0gMZ3Eg
